Date,BranchisConut,BranchisConutTyre,BranchisConutJnah,BranchisMainStreetCoffee,DaysinMonth,WeekendDays,HolidayMonth,Months Active,Coldstart,MonthlySale,PrevsMonthly,Month_Num,Is_Coastal
Aug-25,1,0,0,0,31,10,0,4,1,554074782.88,,8,0
Aug-25,0,1,0,0,31,10,0,4,1,477535459.07,,8,1
Aug-25,0,0,1,0,31,10,0,4,1,363540268.13,,8,1
Sep-25,1,0,0,0,30,8,0,5,0,784385377.11,554074782.88,9,0
Sep-25,0,1,0,0,30,8,0,5,0,444800810.51,477535459.07,9,1
Sep-25,0,0,1,0,30,8,0,5,0,714037266.45,363540268.13,9,1
Sep-25,0,0,0,1,30,8,0,5,1,145842540.35,,9,0
Oct-25,1,0,0,0,31,8,1,5,0,1137352241.41,784385377.11,10,0
Oct-25,0,1,0,0,31,8,1,5,0,2100816729.45,444800810.51,10,1
Oct-25,0,0,1,0,31,8,1,5,0,785925564.58,714037266.45,10,1
Oct-25,0,0,0,1,31,8,1,5,0,920588160.21,145842540.35,10,0
Nov-25,1,0,0,0,30,10,0,5,0,1351165728.11,1137352241.41,11,0
Nov-25,0,1,0,0,30,10,0,5,0,1129526810.42,2100816729.45,11,1
Nov-25,0,0,1,0,30,10,0,5,0,947652050.58,785925564.58,11,1
Nov-25,0,0,0,1,30,10,0,5,0,1171534376.2,920588160.21,11,0
Dec-25,1,0,0,0,31,8,1,5,0,67887513.35,1351165728.11,12,0
Dec-25,0,1,0,0,31,8,1,5,0,1024205946.3,1129526810.42,12,1
Dec-25,0,0,1,0,31,8,1,5,0,2878191130.49,947652050.58,12,1
Dec-25,0,0,0,1,31,8,1,5,0,3074216293.59,1171534376.2,12,0
