approach,model,window,test_month,mape,rmse,r2
V2_LogSale,GPR,W1_Oct,10,53.68,884342949.41,-1.9520
V2_LogSale,BayesianRidge,W1_Oct,10,39.98,751816613.85,-1.1336
V2_LogSale,QR_Q90,W1_Oct,10,41.32,810851700.10,-1.4818
V2_LogSale,GPR,W2_Nov,11,43.99,534362429.52,-12.8790
V2_LogSale,BayesianRidge,W2_Nov,11,71.61,870271696.46,-35.8125
V2_LogSale,QR_Q90,W2_Nov,11,34.07,418226608.75,-7.5018
V2_LogSale,GPR,W3_Dec,12,294.77,1617432469.54,-0.6396
V2_LogSale,BayesianRidge,W3_Dec,12,808.99,1387788466.61,-0.2071
V2_LogSale,QR_Q90,W3_Dec,12,429.41,1437488852.40,-0.2951
V3_Ratio,GPR,W1_Oct,10,44.56,821523578.20,-1.5475
V3_Ratio,BayesianRidge,W1_Oct,10,37.36,694904894.76,-0.8228
V3_Ratio,QR_Q90,W1_Oct,10,43.72,793003770.80,-1.3737
V3_Ratio,GPR,W2_Nov,11,175.92,2394807682.18,-277.7576
V3_Ratio,BayesianRidge,W2_Nov,11,81.94,776533862.18,nan
V3_Ratio,QR_Q90,W2_Nov,11,227.81,2744870889.61,-365.2092
V3_Ratio,GPR,W3_Dec,12,1019.44,1583074374.22,-0.5707
V3_Ratio,BayesianRidge,W3_Dec,12,2086.88,2919786006.67,-4.3431
V3_Ratio,QR_Q90,W3_Dec,12,693.80,1280350152.15,-0.0274
